Origin Postcode,Destination Postcode,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude
TA1 1DT,TA6 6RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.023643039999996,-3.1139016,51.023643039999996,-3.1139016
TA1 1DU,TA10 0DZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4953519,114.5454769,40.4953519,114.5454769
TA1 1DW,TA1 5LJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9480989,-75.299106,2.9480989,-75.299106
TA1 1DX,TA4 1YY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.019723625,-3.103049825,51.019723625,-3.103049825
TA1 1DY,TA19 9PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0224987,-3.0985272,51.0224987,-3.0985272
TA1 1DZ,TA24 8PQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02090853333333,-3.1145005833333332,51.02090853333333,-3.1145005833333332
TA1 1EA,TA3 7ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02095537647059,-3.1087948294117647,51.02095537647059,-3.1087948294117647
TA1 1EB,TA19 9BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02251856666667,-3.10957988,51.02251856666667,-3.10957988
TA1 1ED,TA22 9ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02036135,-3.109400083333333,51.02036135,-3.109400083333333
TA1 1EE,TA21 0RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0207795,-3.10991864,51.0207795,-3.10991864
TA1 1EF,TA22 9EW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02048098636364,-3.1108570636363635,51.02048098636364,-3.1108570636363635
TA1 1EG,TA2 8XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02162205833333,-3.111245625,51.02162205833333,-3.111245625
TA1 1EH,TA7 9PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.021154833333334,-3.1116756666666667,51.021154833333334,-3.1116756666666667
TA1 1EJ,TA8 1QL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02103107692308,-3.1132080692307693,51.02103107692308,-3.1132080692307693
TA1 1EL,TA24 7BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02222969285714,-3.110991128571429,51.02222969285714,-3.110991128571429
TA1 1EN,TA2 8EJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.021213125641026,-3.1147270564102563,51.021213125641026,-3.1147270564102563
TA1 1EP,TA4 2UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02166011,-3.11532099,51.02166011,-3.11532099
TA1 1EQ,TA24 6RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0217198,-3.110122516666667,51.0217198,-3.110122516666667
TA1 1ER,TA18 8JB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022317642105264,-3.115412534210526,51.022317642105264,-3.115412534210526
TA1 1ES,TA20 4HN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02163520833333,-3.1159508833333334,51.02163520833333,-3.1159508833333334
TA1 1ET,TA2 7HF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02130187142858,-3.1167703,51.02130187142858,-3.1167703
TA1 1EU,TA7 8FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02194169642857,-3.1171137714285715,51.02194169642857,-3.1171137714285715
TA1 1EW,TA21 8RL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.021678268181816,-3.1139855136363637,51.021678268181816,-3.1139855136363637
TA1 1EX,TA21 0DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02258019,-3.1167157899999998,51.02258019,-3.1167157899999998
TA1 1EY,TA5 1YD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1EZ,TA21 8RJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022431141666665,-3.115892591666667,51.022431141666665,-3.115892591666667
TA1 1FA,TA2 8EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02303925,-3.0929731166666667,51.02303925,-3.0929731166666667
TA1 1FB,TA20 9BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0174362,-3.1022392,51.0174362,-3.1022392
TA1 1FD,TA12 6BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0177713,-3.1031496,51.0177713,-3.1031496
TA1 1FE,TA21 9JZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0178449,-3.1029049,51.0178449,-3.1029049
TA1 1FF,TA8 1PR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0170903,-3.1053977,51.0170903,-3.1053977
TA1 1FX,TA18 8BG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HA,TA1 9GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022475639999996,-3.11750658,51.022475639999996,-3.11750658
TA1 1HB,TA4 1JZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.022814775,-3.115900475,51.022814775,-3.115900475
TA1 1HD,TA1 3WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.021260925,-3.105465975,51.021260925,-3.105465975
TA1 1HE,TA8 1BQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.02104155,-3.10650475,51.02104155,-3.10650475
TA1 1HF,TA1 9ZT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HG,TA7 8RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HH,TA5 2HH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0142375,-3.101638,51.0142375,-3.101638
TA1 1HJ,TA7 9QD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HL,TA1 3NJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HN,TA2 7LX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0152942,-3.1024577,51.0152942,-3.1024577
TA1 1HP,TA22 9BD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0151387,-3.1027079,51.0151387,-3.1027079
TA1 1HQ,TA20 1RP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HR,TA4 3AW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0148200625,-3.102179175,51.0148200625,-3.102179175
TA1 1HS,TA5 2DY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8424491,-103.5292232,31.8424491,-103.5292232
TA1 1HT,TA24 8BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HU,TA2 6YT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5807544,114.2703652,34.5807544,114.2703652
TA1 1HW,TA6 3PU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HX,TA3 6AW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01429068666667,-3.1025070466666667,51.01429068666667,-3.1025070466666667
TA1 1HY,TA11 7HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1HZ,TA1 3XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1JA,TA3 6UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.014368325,-3.103746975,51.014368325,-3.103746975
TA1 1JB,TA1 5DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1JD,TA6 3SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01451946,-3.10303468,51.01451946,-3.10303468
TA1 1JE,TA11 6DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1JF,TA23 0YR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1JG,TA24 6YT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1JH,TA8 1BN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.017274417391306,-3.1031267086956524,51.017274417391306,-3.1031267086956524
TA1 1JJ,TA1 4TZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01755055,-3.102860425,51.01755055,-3.102860425
TA1 1JL,TA24 8WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0183058,-3.1025587,51.0183058,-3.1025587
TA1 1JN,TA1 1TW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0171473,-3.103391,51.0171473,-3.103391
TA1 1JP,TA20 4JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0180933,-3.1019318,51.0180933,-3.1019318
TA1 1JQ,TA1 9TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0150141125,-3.1034019875,51.0150141125,-3.1034019875
TA1 1JR,TA11 7PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01722631875,-3.1018426875,51.01722631875,-3.1018426875
TA1 1JS,TA4 2NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01788547333334,-3.1006238133333333,51.01788547333334,-3.1006238133333333
TA1 1JT,TA20 1HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0189055,-3.1010787,51.0189055,-3.1010787
TA1 1JU,TA6 6GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0185249,-3.09919385,51.0185249,-3.09919385
TA1 1JW,TA3 5LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.014749,-3.1035201,51.014749,-3.1035201
TA1 1JX,TA11 7YP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.017972285714286,-3.098117007142857,51.017972285714286,-3.098117007142857
TA1 1JY,TA19 9WG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0182418,-3.10367465,51.0182418,-3.10367465
TA1 1JZ,TA21 9GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.017331205263154,-3.1072124736842106,51.017331205263154,-3.1072124736842106
TA1 1LA,TA6 7HU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01704919565218,-3.0970417,51.01704919565218,-3.0970417
TA1 1LB,TA2 7SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01722284583333,-3.0972916,51.01722284583333,-3.0972916
TA1 1LD,TA21 9PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01749074285714,-3.097768237142857,51.01749074285714,-3.097768237142857
TA1 1LE,TA18 8LX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0164247,-3.0983166,51.0164247,-3.0983166
TA1 1LF,TA18 8HT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0175486,-3.0989002,51.0175486,-3.0989002
TA1 1LG,TA21 0PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1LH,TA23 0RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.015779153846154,-3.1035126,51.015779153846154,-3.1035126
TA1 1LJ,TA24 8LF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01629226666667,-3.1036154333333332,51.01629226666667,-3.1036154333333332
TA1 1LL,TA2 7RW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0167893,-3.1038464,51.0167893,-3.1038464
TA1 1LN,TA8 1HL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0162732,-3.10384625,51.0162732,-3.10384625
TA1 1LP,TA9 3NQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1LQ,TA9 3DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TA1 1LR,TA21 0EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0151195,-3.1037382,51.0151195,-3.1037382
TA1 1LT,TA19 0LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0164018,-3.1031586,51.0164018,-3.1031586
TA1 1LU,TA1 4DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5881988,118.2509029,30.5881988,118.2509029
TA1 1LW,TA12 6PF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01659403,-3.10295976,51.01659403,-3.10295976
TA1 1LX,TA11 6YS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.01571916666667,-3.1028216444444445,51.01571916666667,-3.1028216444444445
TA1 1LY,TA21 1BY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
